filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,715,989,898,1367
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,161,0,485,714
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,789,14,998,622
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,519,2,759,665
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1049,65,1164,599
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1213,92,1283,560
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,959,965,1047,1290
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,708,1424,868,1692
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1089,907,1172,1203
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1219,850,1264,1143
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1308,803,1366,1090
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1415,780,1457,1035
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1068,1254,1125,1499
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,930,1329,1006,1584
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1181,1180,1215,1407
IMG_0519_JPEG.rf.01facec1c9c6f603dc298bf7e51c17a2.jpg,1536,2048,can,1270,1124,1310,1329
IMG_0411_JPEG.rf.12faa3e6f3bc9b80065ffc5c1374b493.jpg,1536,2048,box,376,961,758,1450
IMG_0411_JPEG.rf.12faa3e6f3bc9b80065ffc5c1374b493.jpg,1536,2048,box,751,962,1143,1439
IMG_0411_JPEG.rf.12faa3e6f3bc9b80065ffc5c1374b493.jpg,1536,2048,box,1,938,356,1454
IMG_0464_JPEG.rf.0155425da72be5287516c3350a45f63a.jpg,1536,2048,box,726,1318,1212,1977
IMG_0464_JPEG.rf.0155425da72be5287516c3350a45f63a.jpg,1536,2048,box,252,411,740,1211
IMG_0464_JPEG.rf.0155425da72be5287516c3350a45f63a.jpg,1536,2048,box,744,422,1252,1205
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,1213,829,1481,1248
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,868,854,1142,1250
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,581,822,825,1214
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,242,777,530,1212
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,0,169,172,639
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,21,665,174,1007
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,136,1548,336,1903
IMG_0872_JPEG.rf.01b71462e0008d89e4c9056ec53c78ac.jpg,1536,2048,can,874,1556,1049,1843
